Tanggal,DKI Jakarta,Pasar Glodok,Pasar Senen Blok III - VI,Pasar Minggu,Pasar Kramat Jati,Pasar Sunter Podomoro
25-Okt-21,13702,13500,14000,14000,13000,13000
26-Okt-21,13723,13500,14000,14000,13000,13000
27-Okt-21,13713,13500,14000,14000,13000,13000
28-Okt-21,13745,13500,14000,14000,13000,14000
29-Okt-21,13723,13500,14000,14000,13000,14000
30-Okt-21,13755,13500,14000,14000,13000,14000
31-Okt-21,13723,13500,14000,14000,13000,14000
1-Nov-21,13787,13500,14000,14000,13000,14000
2-Nov-21,13766,13500,14000,14000,13000,14000
3-Nov-21,13787,13500,14000,14000,13000,14000
4-Nov-21,13787,13500,14000,14000,13000,14000
5-Nov-21,13766,13500,14000,14000,13000,14000
6-Nov-21,13787,13500,14000,14000,13000,14000
7-Nov-21,13755,13500,14000,14000,13000,14000
8-Nov-21,13777,13500,14000,14000,13000,14000
9-Nov-21,13734,13500,14000,14000,13000,14000
10-Nov-21,13809,13500,14000,14000,13000,14000
11-Nov-21,13819,13500,14000,14000,13000,14000
12-Nov-21,13766,13500,14000,14000,13000,14000
13-Nov-21,13723,13500,14000,14000,13000,14000
14-Nov-21,13755,13500,14000,14000,13000,14000
15-Nov-21,13755,13500,14000,14000,13000,14000
16-Nov-21,13734,13500,14000,14000,13000,14000
17-Nov-21,13809,13500,14000,14000,13000,14000
18-Nov-21,13777,13500,14000,14000,13000,14000
19-Nov-21,13777,13500,14000,14000,13000,14000
20-Nov-21,13766,13500,14000,14000,13000,14000
21-Nov-21,13745,13500,14000,14000,13000,14000
22-Nov-21,13766,13500,14000,14000,13000,14000
23-Nov-21,13755,13500,14000,14000,13000,14000
24-Nov-21,13787,13500,14000,14000,13000,14000
25-Nov-21,13777,13500,14000,14000,13000,14000
26-Nov-21,13766,13500,14000,14000,13000,14000
27-Nov-21,13787,13500,14000,14000,13000,14000
28-Nov-21,13766,13500,14000,14000,13000,14000
29-Nov-21,13745,13500,14000,14000,13000,14000
30-Nov-21,13787,13500,14000,14000,13000,14000
1-Des-21,13777,13500,14000,14000,13000,14000
2-Des-21,13777,13500,14000,14000,13000,14000
3-Des-21,13766,13500,14000,14000,13000,14000
4-Des-21,13787,13500,14000,15000,13000,14000
5-Des-21,13830,13500,14000,15000,13000,14000
6-Des-21,13862,13500,14000,15000,13000,14000
7-Des-21,13851,13500,14000,15000,13000,14000
8-Des-21,13851,13500,14000,15000,13000,14000
9-Des-21,13830,13500,14000,15000,13000,14000
10-Des-21,13862,13500,14000,15000,13000,14000
11-Des-21,13862,13500,14000,15000,13000,14000
12-Des-21,13862,13500,14000,15000,13000,14000
13-Des-21,13830,13500,14000,15000,13000,14000
14-Des-21,13851,13500,14000,15000,13000,14000
15-Des-21,13798,13500,14000,15000,13000,14000
16-Des-21,13851,13500,14000,15000,13000,14000
17-Des-21,13819,13500,14000,15000,13000,14000
18-Des-21,13840,13500,14000,15000,13000,14000
19-Des-21,13862,13500,14000,15000,13000,14000
20-Des-21,13777,13500,14000,14000,13000,14000
21-Des-21,13777,13500,14000,14000,13000,14000
